Type	IRI	Status	Label
Class	http://purl.obolibrary.org/obo/OBI_0000519	metadata complete	flow probe
Class	http://purl.obolibrary.org/obo/OBI_0200162	pending final vetting	tail probability for the proportion of false positives correction method
Class	http://purl.obolibrary.org/obo/OBI_0000518	metadata complete	trap column
Class	http://purl.obolibrary.org/obo/OBI_0200161	pending final vetting	quantile number of false positives correction method
Class	http://purl.obolibrary.org/obo/OBI_0000517	metadata complete	NMR magnet
Class	http://purl.obolibrary.org/obo/OBI_0200164	pending final vetting	proportion of expected false positives correction method
Class	http://purl.obolibrary.org/obo/OBI_0000516	metadata complete	NMR probe
Class	http://purl.obolibrary.org/obo/OBI_0200163	pending final vetting	false discovery rate correction method
Class	http://purl.obolibrary.org/obo/OBI_0200166	ready for release	data transformation objective
Class	http://purl.obolibrary.org/obo/OBI_0000515	metadata complete	chromatofocusing column
Class	http://purl.obolibrary.org/obo/OBI_0000514	metadata complete	Bruker AMX series NMR instrument
Class	http://purl.obolibrary.org/obo/OBI_0200165	pending final vetting	quantile proportion of false positives correction method
Class	http://purl.obolibrary.org/obo/OBI_0001845	metadata complete	IL-15 release|ICS
Class	http://purl.obolibrary.org/obo/OBI_0200168	metadata incomplete	correction objective
Class	http://purl.obolibrary.org/obo/OBI_0001846	metadata complete	IL-15 release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0200167	ready for release	data normalization objective
Class	http://purl.obolibrary.org/obo/OBI_0200169	metadata incomplete	normalization data transformation
Class	http://purl.obolibrary.org/obo/OBI_0001848	metadata complete	chromatin interaction analysis by paired-end tag sequencing
Class	http://purl.obolibrary.org/obo/OBI_0001849	metadata complete	structural analysis by paired-end tag sequencing
Class	http://purl.obolibrary.org/obo/OBI_0001850	metadata complete	transcript analysis by paired-end tag sequencing
Class	http://purl.obolibrary.org/obo/OBI_0001851	metadata complete	transcription start site identification objective
Class	http://purl.obolibrary.org/obo/OBI_0001852	metadata complete	paired-end library preparation
Class	http://purl.obolibrary.org/obo/OBI_0001853	metadata complete	DNase I hypersensitive sites sequencing assay
Class	http://purl.obolibrary.org/obo/OBI_0001854	metadata complete	protein and RNA interaction identification objective
Class	http://purl.obolibrary.org/obo/OBI_0000524	metadata complete	Varian VXR spectrometer
Class	http://purl.obolibrary.org/obo/OBI_0000523	metadata complete	magic angle spinning rotor
Class	http://purl.obolibrary.org/obo/OBI_0000522	metadata complete	vial
Class	http://purl.obolibrary.org/obo/OBI_0000521	metadata complete	flame ionization detector
Class	http://purl.obolibrary.org/obo/OBI_0000520	metadata complete	clinical chemistry assay
Class	http://purl.obolibrary.org/obo/OBI_0200151	metadata complete	exponential base
Class	http://purl.obolibrary.org/obo/OBI_0000529	metadata complete	JEOL NMR probe
Class	http://purl.obolibrary.org/obo/OBI_0200150	pending final vetting	MA transformation
Class	http://purl.obolibrary.org/obo/OBI_0000528	metadata complete	liquid chromatography valve
Class	http://purl.obolibrary.org/obo/OBI_0200153	metadata complete	number of variables
Class	http://purl.obolibrary.org/obo/OBI_0000527	metadata complete	flow high resolution probe
Class	http://purl.obolibrary.org/obo/OBI_0200152	metadata complete	polynomial degree
Class	http://purl.obolibrary.org/obo/OBI_0000526	metadata complete	preparative autosampler
Class	http://purl.obolibrary.org/obo/OBI_0200155	pending final vetting	divisive hierarchical clustering
Class	http://purl.obolibrary.org/obo/OBI_0000525	metadata complete	splitless GC injector
Class	http://purl.obolibrary.org/obo/OBI_0200154	pending final vetting	agglomerative hierarchical clustering
Class	http://purl.obolibrary.org/obo/OBI_0200157	pending final vetting	data vector reduction objective
Class	http://purl.obolibrary.org/obo/OBI_0001857	metadata complete	RNP (ribonuclear particle) immunoprecipitation high- throughput sequencing assay
Class	http://purl.obolibrary.org/obo/OBI_0200156	pending final vetting	data partitioning
Class	http://purl.obolibrary.org/obo/OBI_0001858	metadata complete	cross-linking immunoprecipitation high-throughput sequencing assay
Class	http://purl.obolibrary.org/obo/OBI_0001859	metadata complete	formaldehyde-assisted isolation of regulatory elements assay
ObjectProperty	http://purl.obolibrary.org/obo/IAO_0000407		has coordinate unit label
ObjectProperty	http://purl.obolibrary.org/obo/RO_0002002		has 2D boundary
