OBI ID	IEDB alternative term	RDFS Label	Textual Definition	Logical Definition Type	Parent	Technique	Input	Reagent	MHC Source	Biological Process	BCell Process Result	TCell Process Result	Output	Unit	Term Editor	Definition Source
OBI:0001236	IL-22 release|ELISA	ELISA measuring epitope specific interleukin-22 production by T cells	An assay of epitope specific interleukin-22 production by T cells that uses an ELISA.	equivalent	biological activity assay measuring epitope specific interleukin-22 production by T cells	enzyme-linked immunosorbent assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001237	IL-21 release|biological activity	biological activity assay measuring epitope specific interleukin-21 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-21 production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-21 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001238	IL-9 release|ELISA	ELISA measuring epitope specific interleukin-9 production by T cells	An assay of epitope specific interleukin-9 production by T cells that uses an ELISA.	equivalent	biological activity assay measuring interleukin-9 production by T cells	enzyme-linked immunosorbent assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001240	IL-6 release|ICS	intracellular cytokine staining assay measuring epitope specific interleukin-6 production by T cells	An assay of epitope specific interleukin-6 production by T cells that uses an intracellular cytokine staining assay.	equivalent	biological activity assay measuring epitope specific interleukin-6 production by T cells	flow cytometry assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001241	IL-4 release|bioassay	cell culture analyte detection bioassay measuring epitope specific interleukin-4 production by T cells	An assay of epitope specific interleukin-4 production by T cells that uses a cell culture analyte detection bioassay.	equivalent	biological activity assay measuring epitope specific interleukin-4 production by T cells	reporter cell line analyte detection bioassay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001242	TNFa release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific tumor necrosis factor production by T cells	A T cell epitope specific tumor necrosis factor production assay that uses a detection of specific nucleic acids with complementary probes assay.	equivalent	biological activity assay measuring epitope specific tumor necrosis factor production by T cells	detection of specific nucleic acid polymers with complementary probes									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001243	CCL2/MCP-1 release|cytometric bead array	cytometric bead array assay measuring epitope specific monocyte chemotactic protein-1 production by T cells	An assay of epitope specific monocyte chemotactic protein-1 production by T cells that uses a cytometric bead array assay.	equivalent	biological activity assay measuring epitope specific monocyte chemotactic protein-1 production by T cells	cytometric bead array assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001244	IL-23 release|ELISA	ELISA measuring epitope specific interleukin-23 production by T cells	An assay of epitope specific interleukin-23 production by T cells that uses an ELISA.	equivalent	biological activity assay measuring epitope specific interleukin-23 production by T cells	enzyme-linked immunosorbent assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001245	perforin release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific perforin release	A T cell epitope specific perforin release assay that uses a detection of specific nucleic acids with complementary probes assay.	equivalent	biological activity assay measuring epitope specific perforin release by T cells	detection of specific nucleic acid polymers with complementary probes									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001246	TNF release|ELISA	ELISA measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	An assay of epitope specific tumor necrosis factor superfamily cytokine production by T cells that uses an ELISA.	equivalent	biological activity assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	enzyme-linked immunosorbent assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001251	IL-13 release|biological activity	biological activity assay measuring epitope specific interleukin-13 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-13 production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-13 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001253	IL-9 release|biological activity	biological activity assay measuring interleukin-9 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-9 production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-9 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001255	IL-5 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-5 production by T cells	An assay of epitope specific interleukin-5 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent	biological activity assay measuring epitope specific interleukin-5 production by T cells	detection of specific nucleic acid polymers with complementary probes									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001260	IL-3 release|ELISA	ELISA measuring epitope specific interleukin-3 production by T cells	An assay of epitope specific interleukin-3 production by T cells that uses an ELISA.	equivalent	biological activity assay measuring epitope specific interleukin-3 production by T cells	enzyme-linked immunosorbent assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001261	IL-1a release|ELISA	ELISA measuring epitope specific interleukin-1 alpha production by T cells	An assay of epitope specific interleukin-1 alpha production by T cells that uses an ELISA.	equivalent	biological activity assay measuring epitope specific interleukin-1 alpha production by T cells	enzyme-linked immunosorbent assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001263	T cell help|biological activity	biological activity assay measuring epitope specific helper T cell enhancement of a T cell mediated immune response	A T cell epitope specific helper activity assay that detects the ability of a T cell epitope to enhance a T cell response.	equivalent	biological activity assay measuring epitope specific T cell helper activity					helper T cell enhancement of T cell mediated immune response		helper T cell enhancement of T cell mediated immune response			"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001264	TGFb release|biological activity	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	A T cell epitope specific cytokine production assay that detects transforming growth factor-beta production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					transforming growth factor beta production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
